t, v
0, 0
1.5e-4, 0
3.5e-4, 0
5.5e-4, 0
7.5e-4, 0
9.5e-4, 0
0.00115, 0
0.00135, 0
0.00155, 0
0.00175, 0
0.00195, 4.5016e-5
0.00215, 3.0663e-4
0.00235, 7.8485e-4
0.00255, 0.0014797
0.00275, 0.0023911
0.00295, 0.0035191
0.00315, 0.0048638
0.00335, 0.006425
0.00355, 0.0082029
0.00375, 0.01027
0.00395, 0.012553
0.00415, 0.015053
0.00435, 0.017769
0.00455, 0.020702
0.00475, 0.023852
0.00495, 0.027219
0.00515, 0.030802
0.00535, 0.034601
0.00555, 0.038617
0.00575, 0.04285
0.00595, 0.0473
0.00615, 0.051966
0.00635, 0.056849
0.00655, 0.061948
0.00675, 0.067264
0.00695, 0.072797
0.00715, 0.078547
0.00735, 0.084513
0.00755, 0.090695
0.00775, 0.097095
0.00795, 0.10371
0.00815, 0.11054
0.00835, 0.11759
0.00855, 0.12486
0.00875, 0.13234
0.00895, 0.14004
0.00915, 0.14796
0.00935, 0.15609
0.00955, 0.16444
0.00975, 0.173
0.00995, 0.18179
0.01015, 0.19079
0.01035, 0.2
0.01055, 0.20943
0.01075, 0.21908
0.01095, 0.22895
0.01115, 0.23903
0.01135, 0.24933
0.01155, 0.25985
0.01175, 0.27058
0.01195, 0.28153
0.01215, 0.2927
0.01235, 0.30408
0.01255, 0.31568
0.01275, 0.32749
0.01295, 0.33953
0.01315, 0.35178
0.01335, 0.36424
0.01355, 0.37693
0.01375, 0.38983
0.01395, 0.40294
0.01415, 0.41627
0.01435, 0.42982
0.01455, 0.44358
0.01475, 0.45754
0.01495, 0.47169
0.01515, 0.48599
0.01535, 0.50032
0.01555, 0.51468
0.01575, 0.52906
0.01595, 0.54347
0.01615, 0.5579
0.01635, 0.57236
0.01655, 0.58684
0.01675, 0.60135
0.01695, 0.61589
0.01715, 0.63045
0.01735, 0.64503
0.01755, 0.65964
0.01775, 0.67428
0.01795, 0.68894
0.01815, 0.70363
0.01835, 0.71834
0.01855, 0.73308
0.01875, 0.74785
0.01895, 0.76264
0.01915, 0.77745
0.01935, 0.79229
0.01955, 0.80716
0.01975, 0.82205
0.01995, 0.83697
0.02015, 0.85191
0.02035, 0.86688
0.02055, 0.88187
0.02075, 0.89689
0.02095, 0.91194
0.02115, 0.92701
0.02135, 0.9421
0.02155, 0.95723
0.02175, 0.97237
0.02195, 0.98755
0.02215, 1.0027
0.02235, 1.018
0.02255, 1.0332
0.02275, 1.0485
0.02295, 1.0638
0.02315, 1.0791
0.02335, 1.0945
0.02355, 1.1098
0.02375, 1.1252
0.02395, 1.1407
0.02415, 1.1561
0.02435, 1.1716
0.02455, 1.1871
0.02475, 1.2026
0.02495, 1.2182
0.02515, 1.2338
0.02535, 1.2494
0.02555, 1.265
0.02575, 1.2807
0.02595, 1.2964
0.02615, 1.3121
0.02635, 1.3278
0.02655, 1.3436
0.02675, 1.3593
0.02695, 1.3752
0.02715, 1.391
0.02735, 1.4069
0.02755, 1.4227
0.02775, 1.4387
0.02795, 1.4546
0.02815, 1.4706
0.02835, 1.4865
0.02855, 1.5026
0.02875, 1.5186
0.02895, 1.5347
0.02915, 1.5508
0.02935, 1.5669
0.02955, 1.583
0.02975, 1.5992
