time thrust
0.00 0.00
0.02 540.57
0.07 716.61
0.12 724.39
0.17 740.18
0.22 751.53
0.27 762.31
0.32 821.36
0.37 908.55
0.42 894.53
0.47 885.86
0.52 881.97
0.58 875.41
0.62 869.85
0.68 863.18
0.72 857.51
0.78 847.39
0.82 844.38
0.88 834.96
0.93 825.70
0.98 817.69
1.03 810.69
1.08 793.90
1.13 781.77
1.18 766.09
1.23 750.53
1.28 739.41
1.33 721.05
1.38 703.71
1.43 689.03
1.48 674.91
1.53 662.67
1.58 646.10
1.63 633.76
1.68 616.52
1.73 603.96
1.78 590.20
1.83 574.71
1.88 567.59
1.93 569.37
1.98 463.39
2.03 268.23
2.08 121.55
2.13 40.92
2.18 7.23
2.23 3.91
2.3 0
1000 0
