t, a
0, -9.3861
1.5e-4, -8.4385
3.5e-4, -7.3556
5.5e-4, -6.2727
7.5e-4, -5.1898
9.5e-4, -4.1068
0.00115, -3.0238
0.00135, -1.9409
0.00155, -0.8579
0.00175, 0.22508
0.00195, 1.3081
0.00215, 2.3911
0.00235, 3.4741
0.00255, 4.5571
0.00275, 5.6401
0.00295, 6.7232
0.00315, 7.8062
0.00335, 8.8893
0.00355, 12.138
0.00375, 13.221
0.00395, 14.304
0.00415, 15.388
0.00435, 16.471
0.00455, 17.554
0.00475, 18.637
0.00495, 19.72
0.00515, 20.803
0.00535, 21.886
0.00555, 22.969
0.00575, 24.053
0.00595, 25.136
0.00615, 26.219
0.00635, 27.302
0.00655, 28.385
0.00675, 29.469
0.00695, 30.552
0.00715, 31.635
0.00735, 32.718
0.00755, 33.802
0.00775, 34.885
0.00795, 35.968
0.00815, 37.051
0.00835, 38.135
0.00855, 39.218
0.00875, 40.301
0.00895, 41.385
0.00915, 42.468
0.00935, 43.551
0.00955, 44.635
0.00975, 45.718
0.00995, 46.801
0.01015, 47.885
0.01035, 48.968
0.01055, 50.051
0.01075, 51.135
0.01095, 52.218
0.01115, 53.302
0.01135, 54.385
0.01155, 55.469
0.01175, 56.552
0.01195, 57.635
0.01215, 58.719
0.01235, 59.802
0.01255, 60.886
0.01275, 61.969
0.01295, 63.053
0.01315, 64.136
0.01335, 65.22
0.01355, 66.303
0.01375, 67.387
0.01395, 68.471
0.01415, 69.5
0.01435, 70.345
0.01455, 70.998
0.01475, 71.46
0.01495, 71.73
0.01515, 71.863
0.01535, 71.991
0.01555, 72.118
0.01575, 72.246
0.01595, 72.374
0.01615, 72.501
0.01635, 72.629
0.01655, 72.756
0.01675, 72.884
0.01695, 73.011
0.01715, 73.139
0.01735, 73.266
0.01755, 73.394
0.01775, 73.522
0.01795, 73.649
0.01815, 73.777
0.01835, 73.904
0.01855, 74.032
0.01875, 74.159
0.01895, 74.287
0.01915, 74.415
0.01935, 74.542
0.01955, 74.67
0.01975, 74.797
0.01995, 74.925
0.02015, 75.053
0.02035, 75.18
0.02055, 75.308
0.02075, 75.435
0.02095, 75.563
0.02115, 75.691
0.02135, 75.818
0.02155, 75.946
0.02175, 76.073
0.02195, 76.201
0.02215, 76.329
0.02235, 76.456
0.02255, 76.584
0.02275, 76.712
0.02295, 76.839
0.02315, 76.967
0.02335, 77.094
0.02355, 77.222
0.02375, 77.35
0.02395, 77.477
0.02415, 77.605
0.02435, 77.733
0.02455, 77.86
0.02475, 77.988
0.02495, 78.116
0.02515, 78.243
0.02535, 78.371
0.02555, 78.499
0.02575, 78.626
0.02595, 78.754
0.02615, 78.882
0.02635, 79.009
0.02655, 79.137
0.02675, 79.265
0.02695, 79.392
0.02715, 79.52
0.02735, 79.648
0.02755, 79.775
0.02775, 79.903
0.02795, 80.031
0.02815, 80.158
0.02835, 80.286
0.02855, 80.414
0.02875, 80.541
0.02895, 80.669
0.02915, 80.797
0.02935, 80.925
0.02955, 81.052
0.02975, 81.18
0.02995, 81.308
0.03015, 81.435
0.03035, 81.563
0.03055, 81.691
0.03075, 81.819
0.03095, 81.946
0.03115, 82.074
0.03135, 82.202
0.03155, 82.329
0.03175, 82.457
0.03195, 82.585
0.03215, 82.713
0.03235, 82.84
0.03255, 82.968
0.03275, 83.096
0.03295, 83.224
0.03315, 83.351
0.03335, 83.479
0.03355, 83.607
0.03375, 83.735
0.03395, 83.862
0.03415, 83.99
0.03435, 84.118
0.03455, 84.246
0.03475, 84.373
0.03495, 84.501
0.03515, 84.629
0.03535, 84.757
0.03555, 84.885
0.03575, 85.012
0.03595, 85.14
0.03615, 85.268
0.03635, 85.396
0.03655, 85.524
0.03675, 85.651
0.03695, 85.779
0.03715, 85.907
0.03735, 86.035
0.03755, 86.162
0.03775, 86.29
0.03795, 86.418
0.03815, 86.546
0.03835, 86.674
0.03855, 86.802
0.03875, 86.929
0.03895, 87.057
0.03915, 87.185
0.03935, 87.313
0.03955, 87.441
0.03975, 87.568
0.03995, 87.696
0.04015, 87.824
0.04035, 87.952
0.04055, 88.08
0.04075, 88.208
0.04095, 88.335
0.04115, 88.463
0.04135, 88.591
0.04155, 88.719
0.04175, 88.847
0.04195, 88.975
0.04215, 89.103
0.04235, 89.23
0.04255, 89.358
0.04275, 89.486
0.04295, 89.614
0.04315, 89.742
0.04335, 89.87
0.04355, 89.998
0.04375, 90.125
0.04395, 90.253
0.04415, 90.381
0.04435, 90.509
0.04455, 90.637
0.04475, 90.765
0.04495, 90.893
0.04515, 91.021
0.04535, 91.148
0.04555, 91.276
0.04575, 91.404
0.04595, 91.532
0.04615, 91.66
0.04635, 91.788
0.04655, 91.916
0.04675, 92.044
0.04695, 92.172
0.04715, 92.3
0.04735, 92.427
0.04755, 92.555
0.04775, 92.683
0.04795, 92.811
0.04815, 92.939
0.04835, 93.067
0.04855, 93.195
0.04875, 93.323
0.04895, 93.451
0.04915, 93.579
0.04935, 93.707
0.04955, 93.835
0.04975, 93.963
0.04995, 94.091
0.05015, 94.218
0.05035, 94.346
0.05055, 94.474
0.05075, 94.602
0.05095, 94.73
0.05115, 94.858
0.05135, 94.986
0.05155, 95.114
0.05175, 95.242
0.05195, 95.37
0.05215, 95.498
0.05235, 95.626
0.05255, 95.754
0.05275, 95.882
0.05295, 96.01
0.05315, 96.138
0.05335, 96.266
0.05355, 96.394
0.05375, 96.522
0.05395, 96.65
0.05415, 96.778
0.05435, 96.906
0.05455, 97.034
0.05475, 97.162
0.05495, 97.29
0.05515, 97.418
0.05535, 97.546
0.05555, 97.674
0.05575, 97.802
0.05595, 97.93
0.05615, 98.058
0.05635, 98.186
0.05655, 98.314
0.05675, 98.442
0.05695, 98.57
0.05715, 98.698
0.05735, 98.826
0.05755, 98.954
0.05775, 99.082
0.05795, 99.21
0.05815, 99.338
0.05835, 99.466
0.05855, 99.594
0.05875, 99.722
0.05895, 99.85
0.05915, 99.978
0.05935, 100.11
0.05955, 100.23
0.05975, 100.36
0.05995, 100.49
0.06015, 100.62
0.06035, 100.75
0.06055, 100.87
0.06075, 101
0.06095, 101.13
0.06115, 101.26
0.06135, 101.39
0.06155, 101.51
0.06175, 101.64
0.06195, 101.77
0.06215, 101.89
0.06235, 101.98
0.06255, 102.04
0.06275, 102.07
0.06295, 102.07
0.06315, 102.05
0.06335, 102.02
0.06355, 102
0.06375, 101.98
0.06395, 101.95
0.06415, 101.93
0.06435, 101.91
0.06455, 101.88
0.06475, 101.86
0.06495, 101.84
0.06515, 101.81
0.06535, 101.79
0.06555, 101.77
0.06575, 101.75
0.06595, 101.72
0.06615, 101.7
0.06635, 101.68
0.06655, 101.65
0.06675, 101.63
0.06695, 101.61
0.06715, 101.58
0.06735, 101.56
0.06755, 101.54
0.06775, 101.51
0.06795, 101.49
0.06815, 101.47
0.06835, 101.44
0.06855, 101.42
0.06875, 101.4
0.06895, 101.37
0.06915, 101.35
0.06935, 101.33
0.06955, 101.3
0.06975, 101.28
0.06995, 101.26
0.07015, 101.23
0.07035, 101.21
0.07055, 101.19
0.07075, 101.16
0.07095, 101.14
0.07115, 101.12
0.07135, 101.09
0.07155, 101.07
0.07175, 101.05
0.07195, 101.02
0.07215, 101
0.07235, 100.98
0.07255, 100.95
0.07275, 100.93
0.07295, 100.91
0.07315, 100.88
0.07335, 100.86
0.07355, 100.84
0.07375, 100.81
0.07395, 100.79
0.07415, 100.77
0.07435, 100.74
0.07455, 100.72
0.07475, 100.7
0.07495, 100.67
0.07515, 100.65
0.07535, 100.63
0.07555, 100.6
0.07575, 100.58
0.07595, 100.56
0.07615, 100.53
0.07635, 100.51
0.07655, 100.49
0.07675, 100.46
0.07695, 100.44
0.07715, 100.42
0.07735, 100.39
0.07755, 100.37
0.07775, 100.35
0.07795, 100.32
0.07815, 100.3
0.07835, 100.28
0.07855, 100.26
0.07875, 100.23
0.07895, 100.21
0.07915, 100.19
0.07935, 100.16
0.07955, 100.14
0.07975, 100.12
0.07995, 100.09
0.08015, 100.07
0.08035, 100.05
0.08055, 100.02
0.08075, 99.999
0.08095, 99.975
0.08115, 99.952
0.08135, 99.929
0.08155, 99.905
0.08175, 99.882
0.08195, 99.859
0.08215, 99.835
0.08235, 99.812
0.08255, 99.789
0.08275, 99.765
0.08295, 99.742
0.08315, 99.719
0.08335, 99.695
0.08355, 99.672
0.08375, 99.649
0.08395, 99.625
0.08415, 99.602
0.08435, 99.579
0.08455, 99.555
0.08475, 99.532
0.08495, 99.509
0.08515, 99.485
0.08535, 99.462
0.08555, 99.439
0.08575, 99.415
0.08595, 99.392
0.08615, 99.369
0.08635, 99.345
0.08655, 99.322
0.08675, 99.299
0.08695, 99.275
0.08715, 99.252
0.08735, 99.229
0.08755, 99.205
0.08775, 99.182
0.08795, 99.159
0.08815, 99.135
0.08835, 99.112
0.08855, 99.089
0.08875, 99.065
0.08895, 99.042
0.08915, 99.019
0.08935, 98.995
0.08955, 98.972
0.08975, 98.949
0.08995, 98.925
0.09015, 98.902
0.09035, 98.879
0.09055, 98.855
0.09075, 98.832
0.09095, 98.809
0.09115, 98.785
0.09135, 98.762
0.09155, 98.738
0.09175, 98.715
0.09195, 98.692
0.09215, 98.668
0.09235, 98.645
0.09255, 98.622
0.09275, 98.598
0.09295, 98.575
0.09315, 98.552
0.09335, 98.528
0.09355, 98.505
0.09375, 98.481
0.09395, 98.458
0.09415, 98.435
0.09435, 98.411
0.09455, 98.388
0.09475, 98.365
0.09495, 98.341
0.09515, 98.318
0.09535, 98.295
0.09555, 98.271
0.09575, 98.248
0.09595, 98.224
0.09615, 98.201
0.09635, 98.178
0.09655, 98.154
0.09675, 98.131
0.09695, 98.108
0.09715, 98.084
0.09735, 98.061
0.09755, 98.037
0.09775, 98.014
0.09795, 97.991
0.09815, 97.967
0.09835, 97.944
0.09855, 97.921
0.09875, 97.897
0.09895, 97.874
0.09915, 97.85
0.09935, 97.827
0.09955, 97.804
0.09975, 97.78
0.09995, 97.757
0.10015, 97.733
0.10035, 97.71
0.10055, 97.687
0.10075, 97.663
0.10095, 97.64
0.10115, 97.616
0.10135, 97.593
0.10155, 97.57
0.10175, 97.546
0.10195, 97.523
0.10215, 97.499
0.10235, 97.476
0.10255, 97.453
0.10275, 97.429
0.10295, 97.406
0.10315, 97.384
0.10335, 97.368
0.10355, 97.357
0.10375, 97.352
0.10395, 97.353
0.10415, 97.358
0.10435, 97.363
0.10455, 97.368
0.10475, 97.373
0.10495, 97.378
0.10515, 97.383
0.10535, 97.389
0.10555, 97.394
0.10575, 97.399
0.10595, 97.404
0.10615, 97.409
0.10635, 97.414
0.10655, 97.419
0.10675, 97.424
0.10695, 97.429
0.10715, 97.434
0.10735, 97.439
0.10755, 97.444
0.10775, 97.449
0.10795, 97.454
0.10815, 97.46
0.10835, 97.465
0.10855, 97.47
0.10875, 97.475
0.10895, 97.48
0.10915, 97.485
