t, a
0, 0
1.5e-4, 0
3.5e-4, 0
5.5e-4, 0
7.5e-4, 0
9.5e-4, 0
0.00115, 0
0.00135, 0
0.00155, 0
0.00175, 0
0.00195, 0
0.00215, 3.9666e-8
0.00235, 1.4881e-7
0.00255, 3.7527e-7
0.00275, 7.6234e-7
0.00295, 1.3534e-6
0.00315, 2.1916e-6
0.00335, 3.3205e-6
0.00355, 4.7833e-6
0.00375, 6.6378e-6
0.00395, 8.9272e-6
0.00415, 1.1695e-5
0.00435, 1.4984e-5
0.00455, 1.8839e-5
0.00475, 2.3301e-5
0.00495, 2.8416e-5
0.00515, 3.4225e-5
0.00535, 4.0772e-5
0.00555, 4.8102e-5
0.00575, 5.6256e-5
0.00595, 6.5278e-5
0.00615, 7.5212e-5
0.00635, 8.61e-5
0.00655, 9.7987e-5
0.00675, 1.1092e-4
0.00695, 1.2493e-4
0.00715, 1.4007e-4
0.00735, 1.5638e-4
0.00755, 1.7391e-4
0.00775, 1.927e-4
0.00795, 2.1279e-4
0.00815, 2.3422e-4
0.00835, 2.5704e-4
0.00855, 2.8129e-4
0.00875, 3.0702e-4
0.00895, 3.3426e-4
0.00915, 3.6307e-4
0.00935, 3.9348e-4
0.00955, 4.2554e-4
0.00975, 4.5929e-4
0.00995, 4.9478e-4
0.01015, 5.3204e-4
0.01035, 5.7113e-4
0.01055, 6.1208e-4
0.01075, 6.5494e-4
0.01095, 6.9975e-4
0.01115, 7.4656e-4
0.01135, 7.954e-4
0.01155, 8.4632e-4
0.01175, 8.9937e-4
0.01195, 9.5459e-4
0.01215, 0.001012
0.01235, 0.0010717
0.01255, 0.0011337
0.01275, 0.001198
0.01295, 0.0012647
0.01315, 0.0013339
0.01335, 0.0014055
0.01355, 0.0014796
0.01375, 0.0015563
0.01395, 0.0016356
0.01415, 0.0017175
0.01435, 0.0018021
0.01455, 0.0018895
0.01475, 0.0019796
0.01495, 0.0020725
0.01515, 0.0021683
0.01535, 0.0022669
0.01555, 0.0023684
0.01575, 0.0024728
0.01595, 0.00258
0.01615, 0.0026902
0.01635, 0.0028032
0.01655, 0.0029191
0.01675, 0.0030379
0.01695, 0.0031597
0.01715, 0.0032843
0.01735, 0.0034118
0.01755, 0.0035423
0.01775, 0.0036757
0.01795, 0.003812
0.01815, 0.0039513
0.01835, 0.0040935
0.01855, 0.0042386
0.01875, 0.0043867
0.01895, 0.0045378
0.01915, 0.0046918
0.01935, 0.0048488
0.01955, 0.0050087
0.01975, 0.0051716
0.01995, 0.0053375
0.02015, 0.0055064
0.02035, 0.0056783
0.02055, 0.0058532
0.02075, 0.0060311
0.02095, 0.0062119
0.02115, 0.0063958
0.02135, 0.0065827
0.02155, 0.0067727
0.02175, 0.0069656
0.02195, 0.0071616
0.02215, 0.0073607
0.02235, 0.0075627
0.02255, 0.0077679
0.02275, 0.007976
0.02295, 0.0081873
0.02315, 0.0084015
0.02335, 0.0086189
0.02355, 0.0088393
0.02375, 0.0090628
0.02395, 0.0092894
0.02415, 0.0095191
0.02435, 0.0097519
0.02455, 0.0099878
0.02475, 0.010227
0.02495, 0.010469
0.02515, 0.010714
0.02535, 0.010962
0.02555, 0.011214
0.02575, 0.011468
0.02595, 0.011726
0.02615, 0.011987
